Region,City,State,Lat,Lon,FileName,StartDate,EndDate
4,Lander,WY,42.8153,-108.7261,USW00024021.csv,1892-01-01,2023-12-31
4,Cheyenne,WY,41.1519,-104.8061,USW00024018.csv,1871-01-01,2023-12-31
3,Wausau,WI,44.9258,-89.6256,USW00014897.csv,1896-01-01,2023-12-31
3,Hayward,WI,46.0261,-91.4442,USW00094973.csv,1894-01-01,2023-12-31
3,EauClaire,WI,44.8664,-91.4878,USW00014991.csv,1893-01-01,2023-12-31
3,Ashland,WI,46.5486,-90.9189,USW00094929.csv,1894-01-01,2023-12-31
3,Milwaukee,WI,42.955,-87.9044,USW00014839.csv,1871-01-01,2023-12-31
3,Madison,WI,43.1406,-89.3453,USW00014837.csv,1869-01-01,2023-12-31
3,LaCrosse,WI,43.8789,-91.2528,USW00014920.csv,1873-01-01,2023-12-31
3,GreenBay,WI,44.4983,-88.1111,USW00014898.csv,1897-01-01,2023-12-31
2,Bluefield,WV,37.2958,-81.2078,USW00003859.csv,1892-01-01,2023-12-31
2,Morgantown,WV,39.6428,-79.9164,USW00013736.csv,1873-01-01,2023-12-31
2,Wheeling,WV,40.1764,-80.6472,USW00014894.csv,1879-01-01,2023-12-31
2,Huntington,WV,38.365,-82.555,USW00003860.csv,1892-01-01,2023-12-31
2,Charleston,WV,38.3794,-81.59,USW00013866.csv,1893-01-01,2023-12-31
2,Beckley,WV,37.7836,-81.1231,USW00003872.csv,1894-01-01,2023-12-31
5,Vancouver,WA,45.6208,-122.6572,USW00094298.csv,1856-01-01,2023-12-31
5,Pullman,WA,46.7439,-117.1086,USW00094129.csv,1893-01-01,2023-12-31
5,TriCities,WA,46.2667,-119.1167,USW00024163.csv,1895-01-01,2023-12-31
5,Spokane,WA,47.6217,-117.5281,USW00024157.csv,1882-01-01,2023-12-31
5,Seattle,WA,47.4444,-122.3139,USW00024233.csv,1894-01-01,2023-12-31
9,Richmond,VA,37.505,-77.3203,USW00013740.csv,1887-01-01,2023-12-31
9,NorfolkVA,VA,36.9033,-76.1922,USW00013737.csv,1874-01-01,2023-12-31
9,Lynchburg,VA,37.3208,-79.2067,USW00013733.csv,1893-01-01,2023-12-31
1,Burlington,VT,44.4683,-73.15,USW00014742.csv,1884-01-01,2023-12-31
7,SaltLakeCity,UT,40.7781,-111.9694,USW00024127.csv,1875-01-01,2023-12-31
8,CollegeStation,TX,30.5892,-96.3647,USW00003904.csv,1883-01-01,2023-12-31
